OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD	SWADESH1952	IELEX	TOB110	LeipzigJakarta100	ABVD	CALMSEA200
6032	-	GREEN	Sense perception	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.	Adjective	15.68	-	green	green	-	green	-
441895	-	GRIND	Food and drink	To break something into small pieces by pressing it flat, or grinding it to powder.	Verb	5.56	-	-	-	-	-	grind
154737	-	GROW	Spatial relations	(For a living being) To become bigger.	Verb	12.53	-	-	-	-	-	-
5824	-	GUTS	The body	The internal organs of an animal.	Noun	4.461	-	guts	-	-	-	guts
446278	-	HAIR	The body	The collection or mass of hair on a person's head except the face.	Noun	4.14	-	hair	hair	hair	hair	hair (head)
5616	-	HAND	The body	That part of the fore limb below the forearm or wrist in primates (including humans).	Noun	4.33	-	hand	hand	arm/hand	hand	hand/arm
8173	-	HARD	Sense perception	Resistant to pressure.	Adjective	15.74	-	-	-	-	-	-
5454	-	HE	Kinship	A male other; the male previously mentioned; himself.  3rd person singular masculine subject pronoun.	Function word	2.931	-	he	-	3sg pronoun	he/she	-
1505714	-	HE/SHE/IT	Kinship	Third person singular pronoun, regardless of gender/sex.	Function word	2.93	-	-	-	-	-	-
5527	-	HEAD	The body	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	Noun	4.2	-	head	head	-	head	head
1510396	-	HEAD LOUSE	Animals	A parasitic insect which lives among the hairs on the head of a human and feeds on blood.	Noun	3.811	-	louse	louse	louse	louse	louse
5999	-	HEAR	Sense perception	To perceive sound with the ear, without necessarily paying attention to it.	Verb	15.41	-	to hear	hear	to hear	to hear	ear/hear
5475	-	HEART	The body	A muscular organ that pumps blood through the body.	Noun	4.44	-	heart	heart	-	-	heart
5451	-	HEAVY	Sense perception	Of a physical object, having great weight.	Adjective	15.81	-	heavy	heavy	heavy	heavy	heavy
1287831	5489	HERE	Miscellaneous function words	at this place	Function word	24.09	-	here	-	-	-	-
161806	-	HIDE, CONCEAL	Spatial relations	To put something in a place where it will be harder to discover or out of sight.	Verb	12.27	-	-	-	-	to hide	hide
1505751	-	HIDE, SKIN	Animals	Skin of an animal.	Noun	4.12	-	-	-	-	skin	-
6044	6452;7238	HIT	Basic actions and technology	To give one blow or more with a swift movement.	Verb	9.21	-	to hit	-	to hit/beat	to hit	-
6060	-	HOLD	Possession	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.	Verb	11.15	-	to hold (in one's hand)	-	-	to hold	-
5981	-	HORN, KERATINIZED SKIN	The body	A hard growth of keratin that protrudes from the top of the head of certain animals.	Noun	4.17	-	-	horn	horn	-	horn
1780	-	HORSE	Animals	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.	Noun	3.41	-	-	-	-	-	-
5517	638769	HOUSE	The house	The abode of a human being, their place of residence.	Noun	7.12	-	-	-	-	house	house
5494	-	HOW	Cognition	In what way.	Function word	17.61	-	how	-	-	how?	-
6685	-	HUNDRED	Quantity	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.	Function word	13.105	-	-	-	-	-	hundred
6046	-	HUNT	Warfare and hunting	To chase down prey and (usually) kill it.	Verb	20.61	-	to hunt (transitive)	-	-	to hunt	drive/hunt
5432	-	HUSBAND	Kinship	The male partner in a marriage.	Noun	2.31	-	husband	-	-	husband	-
5450	-	I	Kinship	The speaker or writer referring to himself or herself alone.	Function word	2.91	-	I	I	1sg pronoun	I	I
1837	-	ICE	The physical world	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.	Noun	1.77	-	ice	-	-	-	-
6076	1393788	IF	Cognition	[The introduction of a condition or decision.]	Function word	17.53	-	if	-	-	if	-
6077	-	IN	Spatial relations	Contained or encased by.	Function word	12.012	-	in	-	in	in, inside	-
1959	-	INSECT	Animals	A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.	Noun	3.81	-	-	-	-	-	-
950344	-	INTESTINES	The body	The alimentary canal of an animal through which food passes after having passed all stomachs.	Noun	4.461	-	-	-	-	-	-
2024	-	IRON	Basic actions and technology	A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.	Noun	9.67	-	-	-	-	-	-
1296409	-	IRRIGATED PADDY FIELD	Agriculture and vegetation	A flooded field where rice is grown.	Noun	-	-	-	-	-	-	-
1312191	-	ITCHY	Sense perception	Having a sensation that provokes the need to scratch.	Adjective	-	-	-	-	-	-	-
6249	-	JUICE	Food and drink	The liquid that is produced by squeezing or crushing fruits or vegetables.	Noun	-	-	-	-	-	-	-
500899	-	KICK	Motion	To strike somebody or something with the foot.	Verb	10.431	-	-	-	-	-	-
6023	-	KILL	The body	To put to death; to end a life.	Verb	4.76	-	to kill	kill	-	to kill	kill
5918	-	KNEE	The body	In man, the joint in the middle part of the leg.	Noun	4.36	-	-	knee	knee	-	-
6004	710114;955211	KNOW	Cognition	To be certain or sure about something.	Verb	17.17	-	to know (a fact)	know	to know	to know, be knowledgeable	know
2061	-	LAKE	The physical world	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.	Noun	1.33	-	lake	-	-	lake	-
2063	-	LAND, EARTH	The physical world	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization. (Source: WHIT)	Noun	1.21	-	earth (as in soil)	earth	-	earth/soil	earth
5876	-	LAUGH	Emotions and values	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.	Verb	16.25	-	to laugh	-	to laugh	to laugh	laugh
2124	-	LEAF	Agriculture and vegetation	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.	Noun	8.56	-	leaf	leaf	leaf	leaf	leaf
412005	-	LEECH, WATER LEECH	Animals	A worm-like creature that lives in water and sucks blood from animals.	Noun	-	-	-	-	-	-	water leech
1499731	-	LEFT	Spatial relations	Something that is on the left side relative to another object.	Adjective	12.42	-	left (side)	-	-	left	left side
5665	-	LEG	The body	The limb of an animal (including humans) that extends from the groin to the ankle.	Noun	4.35	-	leg	-	leg/foot	leg/foot	-
476248	-	LET GO, SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb	11.34	-	-	-	-	-	-
1510483	-	LICK	The body	To stroke with the tongue.	Verb	4.59	-	-	-	-	-	-
1425860	-	LIE DOWN	Spatial relations	(For a human or animal) to assume a horizontally extended position on a surface.	Verb	12.14	-	-	-	-	-	sleep/lie down
6005	-	LIE, REST	Spatial relations	To rest in a horizontal, static position, usually on another surface.	Verb	12.14	-	to lie (as on one's side)	lie	-	-	-
1419171	1419153;8409;1419162	LIFE	The body	The state of being.	Noun	4.741	-	-	-	-	-	-
452743	-	LIGHT WEIGHT	Sense perception	With a small mass, little weight or density; the opposite of heavy.	Adjective	15.82	-	-	-	-	-	-
6811	-	LIGHTNING	The physical world	The flash of light caused by the discharge of atmospheric electrical charge.	Noun	1.55	-	-	-	-	-	-
358484	-	LIQUOR	Food and drink	Alcoholic beverage containing more than 20 percent alcohol.	Noun	-	-	-	-	-	-	-
478515	-	LIVE	The house	To have permanent residence.	Verb	7.11	-	to live	-	-	to live, be alive	-
5476	-	LIVER	The body	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	Noun	4.45	-	liver	liver	liver	liver	liver
5438	-	LONG	Spatial relations	Having much distance from one terminating point on an object or an area to another terminating point.	Adjective	12.57	-	long	long	long	long	long/tall
853143	-	LOOSEN	Basic actions and technology	To make undone or untied ; to free from any fastening.	Verb	-	-	-	-	-	-	-
339200	-	MAKE	Basic actions and technology	To create something by combining or assembling materials or parts or by changing it.	Verb	9.111	-	-	-	-	-	-
6396	6395	MALE	Kinship	Of, relating to, or denoting a member of the sex that begets young by fertilizing ova.	Adjective	2.23;3.12	-	-	-	-	-	-
6397	-	MAN	Kinship	An adult human member of the sex that begets young by fertilizing ova.	Noun	2.21	-	man (human being)	man	-	man/male	-
5423	-	MANY	Quantity	An indefinite large number of.	Function word	13.15	-	many	many	-	-	-
7679	-	MARROW	Agriculture and vegetation	Any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh.	Noun	-	-	-	-	-	-	-
2300	-	MEAT	Food and drink	The edible flesh of animals, especially that of mammals.	Noun	5.61	-	-	meat	flesh/meat	meat/flesh	meat/animal
5919	-	MEDICINE	The body	A substance which specifically promotes healing.	Noun	4.88	-	-	-	-	-	-
2358	-	MILK FLUID	Food and drink	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	Noun	5.86	-	-	-	-	-	-
5870	-	MONKEY	Animals	A primate from the group “New World monkeys” or “Old World monkeys” (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.	Noun	3.76	-	-	-	-	-	-
5729	-	MOON	The physical world	A natural satellite of a planet.	Noun	1.53	-	-	moon	-	moon	moon
1454028	-	MORTAR CRUSHER	Food and drink	A bowl used to crush and grind ingredients with a pestle.	Noun	5.58	-	-	-	-	-	-
630453	-	MOSQUITO	Animals	A small flying insect (of the family Culicidae) known for biting and sucking blood.	Noun	3.832	-	-	-	-	-	-
5463	-	MOTHER	Kinship	A woman who has at least one child.	Noun	2.36	-	mother	-	-	mother	-
